id;nama;stok;lokasi;jenis;created_at;updated_at
1;Alkohol 70%;41000.00;-;Cair;NULL;10/08/2024 14:43
2;Alkohol 96%;21000.00;-;Cair;NULL;10/08/2024 14:44
3;Alkohol 98%;3.00;-;Cair;NULL;08/04/2024 12:47
4;Amil alkohol;1006.00;-;Cair;NULL;12/08/2024 09:59
5;Amoniak;3000.00;Rak Besi + Rak Besi Stok;Cair;NULL;09/08/2024 09:54
6;Amonium cair;95.00;Rak Besi;Cair;NULL;31/03/2024 13:21
7;Amonium hydroxide;4000.00;-;Cair;NULL;09/08/2024 09:55
8;Amonium oxalat;1500.00;Rak Besi;Cair;NULL;09/08/2024 10:04
9;Anisi oil;1000.00;-;Cair;NULL;09/08/2024 18:25
10;Aqua pro injeksi;9.00;-;Cair;NULL;05/04/2024 05:45
11;Aquadest;0.00;-;Cair;NULL;NULL
12;Asam Asetat 6%;250.00;Rak Besi Stok;Cair;NULL;NULL
13;Asam asetat anhidrat;1000.00;-;Cair;NULL;10/08/2024 15:06
14;Asam asetat glasial;2700.00;-;Cair;NULL;12/08/2024 09:55
15;Asam asetik anhidrat;0.00;-;Cair;NULL;NULL
16;Asam formic (CHOOH);0.00;-;Cair;NULL;NULL
17;Asam fosfat;500.00;Rak Besi Stok;Cair;NULL;09/08/2024 09:56
18;Asam Nitrat;1000.00;Rak Besi Stok;Cair;NULL;NULL
19;Asam Sitrat;1700.00;Rak Besi Stok;Cair;NULL;NULL
20;Aseton p.a;2000.00;Rak Besi Stok;Cair;NULL;09/08/2024 09:56
21;Aseton teknis;100.00;Rak Besi Stok;Cair;NULL;09/08/2024 09:56
22;Benedict;1000.00;Rak Besi Stok;Cair;NULL;09/08/2024 09:57
23;Benzalkonium;2500.00;Rak Besi Stok;Cair;NULL;09/08/2024 09:57
24;Benzen;2500.00;-;Cair;NULL;12/08/2024 09:56
25;Ca(OH)2 40%;1000.00;Rak Besi Stok;Cair;NULL;NULL
26;Citrate saline;300.00;Rak Besi + Rak Besi Stok;Cair;NULL;NULL
27;Diazo B;500.00;Rak Besi Stok;Cair;NULL;NULL
28;Dietil eter;2000.00;-;Cair;NULL;09/08/2024 18:29
29;Dragendorff;150.00;Rak Besi + Rak Besi Stok;Cair;NULL;NULL
30;Eosin 2%;0.00;-;Cair;NULL;NULL
31;Etanol 96%;4100.00;Rak Besi Stok;Cair;NULL;09/08/2024 09:58
32;Eter;5000.00;-;Cair;NULL;12/08/2024 09:48
33;Ethylene;500.00;Rak Besi + Rak Besi Stok;Cair;NULL;NULL
34;Etil asetat;12600.00;Rak Besi Stok;Cair;NULL;09/08/2024 18:16
35;Etil Eter;800.00;Rak Besi Stok;Cair;NULL;NULL
36;Fehling A;1500.00;Rak Besi Stok;Cair;NULL;09/08/2024 10:00
37;Fehling B;1000.00;Rak Besi Stok;Cair;NULL;09/08/2024 10:00
38;Fenol;2000.00;-;Cair;NULL;09/08/2024 10:00
39;Formalin;6200.00;Rak Besi Stok;Cair;NULL;09/08/2024 10:01
40;Fuchsin;0.00;-;Cair;NULL;NULL
41;Fuhsin;0.00;-;Cair;NULL;NULL
42;Gentian violet;100.00;Rak Besi Stok;Cair;NULL;NULL
43;Giemsa;0.00;-;Cair;NULL;NULL
44;Gliserin;3500.00;Rak Besi + Rak Besi Stok;Cair;NULL;NULL
45;Gliserin/gliserol;20000.00;Rak Besi Stok;Cair;NULL;09/08/2024 10:02
46;H2SO4;7500.00;Rak Besi Stok;Cair;NULL;09/08/2024 18:19
47;HCl;1000.00;Rak Besi Stok;Cair;NULL;09/08/2024 10:03
48;Hemoglobin C;1000.00;-;Cair;NULL;09/08/2024 18:30
49;HNO3;4000.00;Rak Besi Stok;Cair;NULL;NULL
50;I-Butanol;1000.00;-;Cair;NULL;09/08/2024 18:26
51;Isopropyl Myristate;4600.00;Rak Besi Stok;Cair;NULL;12/08/2024 10:23
52;Karbopol;1000.00;Rak Besi Stok;Cair;NULL;NULL
53;Kloroform;2000.00;-;Cair;NULL;14/08/2024 10:19
54;Lactophenol cotton blue;0.00;-;Cair;NULL;NULL
55;LB;0.00;-;Cair;NULL;NULL
56;Lugol;500.00;-;Cair;NULL;09/08/2024 18:27
57;Malachite green oxalate;0.00;-;Cair;NULL;NULL
58;Mayer;100.00;-;Cair;NULL;09/08/2024 18:11
59;Metanol p.a;6000.00;-;Cair;NULL;09/08/2024 18:24
60;Metanol teknis;7500.00;Rak Besi Stok;Cair;NULL;09/08/2024 10:04
61;Metil Etil Keton;1000.00;Rak Besi Stok;Cair;NULL;NULL
62;Metil salisilat;3000.00;Rak Besi Stok;Cair;NULL;NULL
63;N-Heksan;2500.00;-;Cair;NULL;09/08/2024 18:24
64;NaCl fis;1000.00;Rak Besi Stok;Cair;NULL;NULL
65;Ol. Anisi;1000.00;Rak Besi Stok;Cair;NULL;09/08/2024 10:04
66;Ol. Arachidisi;1000.00;Rak Besi Stok;Cair;NULL;NULL
67;Ol. Cesami;300.00;Rak Besi Stok;Cair;NULL;09/08/2024 17:59
68;Ol. Cinnamomi;2700.00;Rak Besi Stok;Cair;NULL;09/08/2024 18:00
69;Ol. Citrus;1000.00;Rak Besi Stok;Cair;NULL;NULL
70;Ol. Coconut;3500.00;Rak Besi Stok;Cair;NULL;NULL
71;Ol. Cocos;300.00;Rak Besi Stok;Cair;NULL;09/08/2024 18:00
72;Ol. Iecoris Aseli;5200.00;Rak Besi Stok;Cair;NULL;09/08/2024 18:01
73;Ol. Menthae;4200.00;Rak Besi Stok;Cair;NULL;09/08/2024 18:01
74;Ol. Olivarum;2000.00;Rak Besi Stok;Cair;NULL;NULL
75;Ol. Olive;500.00;Rak Besi Stok;Cair;NULL;09/08/2024 18:02
76;Ol. Ricini;200.00;Rak Besi Stok;Cair;NULL;09/08/2024 18:02
77;Ol. Rosemary;500.00;Rak Besi Stok;Cair;NULL;NULL
78;Parafin liquid;1500.00;Rak Besi + Rak Besi Stok;Cair;NULL;09/08/2024 18:03
