"nama";"stok";"lokasi";"jenis";"created_at";"updated_at"
"Alkohol 70%";"41000,00";"-";"Cair";\N;"2024-08-10 22:43:33"
"Alkohol 96%";"21000,00";"-";"Cair";\N;"2024-08-10 22:44:11"
"Alkohol 98%";"3,00";"-";"Cair";\N;"2024-04-08 20:47:30"
"Amil alkohol";"1006,00";"-";"Cair";\N;"2024-08-12 17:59:01"
"Amoniak";"3000,00";"Rak Besi + Rak Besi Stok";"Cair";\N;"2024-08-09 17:54:45"
"Amonium cair";"95,00";"Rak Besi";"Cair";\N;"2024-03-31 21:21:15"
"Amonium hydroxide";"4000,00";"-";"Cair";\N;"2024-08-09 17:55:08"
"Amonium oxalat";"1500,00";"Rak Besi";"Cair";\N;"2024-08-09 18:04:59"
"Anisi oil";"1000,00";"-";"Cair";\N;"2024-08-10 02:25:42"
"Aqua pro injeksi";"9,00";"-";"Cair";\N;"2024-04-05 13:45:08"
"Aquadest";"0,00";"-";"Cair";\N;\N
"Asam Asetat 6%";"250,00";"Rak Besi Stok";"Cair";\N;\N
"Asam asetat anhidrat";"1000,00";"-";"Cair";\N;"2024-08-10 23:06:37"
"Asam asetat glasial";"2700,00";"-";"Cair";\N;"2024-08-12 17:55:11"
"Asam asetik anhidrat";"0,00";"-";"Cair";\N;\N
"Asam formic (CHOOH)";"0,00";"-";"Cair";\N;\N
"Asam fosfat";"500,00";"Rak Besi Stok";"Cair";\N;"2024-08-09 17:56:00"
"Asam Nitrat";"1000,00";"Rak Besi Stok";"Cair";\N;\N
"Asam Sitrat";"1700,00";"Rak Besi Stok";"Cair";\N;\N
"Aseton p.a";"2000,00";"Rak Besi Stok";"Cair";\N;"2024-08-09 17:56:21"
"Aseton teknis";"100,00";"Rak Besi Stok";"Cair";\N;"2024-08-09 17:56:45"
"Benedict";"1000,00";"Rak Besi Stok";"Cair";\N;"2024-08-09 17:57:08"
"Benzalkonium";"2500,00";"Rak Besi Stok";"Cair";\N;"2024-08-09 17:57:29"
"Benzen";"2500,00";"-";"Cair";\N;"2024-08-12 17:56:42"
